"Species","length"
"B.mandarina
(Sakado)",3.309271485
"B.mandarina
(Sakado)",2.962841515
"B.mandarina
(Sakado)",3.995299343
"B.mandarina
(Sakado)",3.341512079
"B.mandarina
(Sakado)",3.076454811
"B.mandarina
(Sakado)",3.879688307
"B.mandarina
(Sakado)",3.326329325
"B.mandarina
(Sakado)",3.41872391
"B.mandarina
(Sakado)",2.262793541
"B.mandarina
(Sakado)",3.371378936
"B.mandarina
(Sakado)",3.849255872
"B.mandarina
(Sakado)",3.638110535
"B.mandarina
(Sakado)",3.456154866
"B.mandarina
(Sakado)",4.064926475
"B.mandarina
(Sakado)",3.681059681
"B.mandarina
(Sakado)",4.068442773
"B.mandarina
(Sakado)",3.669551372
"B.mandarina
(Sakado)",4.012625845
"B.mandarina
(Sakado)",3.605501843
"B.mandarina
(Sakado)",3.761080561
"B.mandarina
(Sakado)",4.289906902
"B.mandarina
(Sakado)",4.725048409
"B.mandarina
(Sakado)",4.122077191
"B.mandarina
(Sakado)",3.742432301
"B.mandarina
(Sakado)",3.820242842
"B.mandarina
(Sakado)",5.20260291
"B.mandarina
(Sakado)",3.356612467
"B.mandarina
(Sakado)",3.448072437
"B.mandarina
(Sakado)",3.312399818
"B.mandarina
(Sakado)",3.416929943
"B.mandarina
(Sakado)",2.357409981
"B.mandarina
(Sakado)",2.693065692
"B.mandarina
(Sakado)",3.411026545
"B.mandarina
(Sakado)",3.322981834
"B.mandarina
(Sakado)",3.543290259
"B.mandarina
(Sakado)",2.58527522
"B.mandarina
(Sakado)",4.029849288
"B.mandarina
(Sakado)",4.720361879
"B.mandarina
(Sakado)",2.822725667
"B.mandarina
(Sakado)",3.560312375
"B.mandarina
(Sakado)",2.950122859
"B.mandarina
(Sakado)",3.964792355
"B.mandarina
(Sakado)",3.441375908
"B.mandarina
(Sakado)",3.436645734
"B.mandarina
(Sakado)",3.833133171
"B.mandarina
(Sakado)",3.381666749
"B.mandarina
(Sakado)",4.0067436
"B.mandarina
(Sakado)",3.000529699
"B.mandarina
(Sakado)",2.311847954
"B.mandarina
(Sakado)",3.373526802
"B.mandarina
(Sakado)",3.225348197
"B.mandarina
(Sakado)",3.255654928
"B.mandarina
(Sakado)",3.769232437
"B.mandarina
(Sakado)",4.365627139
"B.mandarina
(Sakado)",3.721606288
"B.mandarina
(Sakado)",3.802898739
"B.mandarina
(Sakado)",1.529543811
"B.mandarina
(Sakado)",2.931020968
"B.mandarina
(Sakado)",3.715565786
"B.mandarina
(Sakado)",3.138495659
"B.mori
(p50T)",0.81
"B.mori
(p50T)",0.87
"B.mori
(p50T)",1.17
"B.mori
(p50T)",0.94
"B.mori
(p50T)",0.88
"B.mori
(p50T)",0.92
"B.mori
(p50T)",1.01
"B.mori
(p50T)",0.85
"B.mori
(p50T)",1.09
"B.mori
(p50T)",0.9
"B.mori
(p50T)",0.99
"B.mori
(p50T)",0.77
"B.mori
(p50T)",0.97
"F1",2.74
"F1",2.55
"F1",2.34
"F1",2.23
"F1",2.4
"F1",2.47
"F1",1.59
"F1",2.09
"F1",2.55
"F1",2.58
"F1",1.74
"F1",2.36
"F1",2.05
"F2",1.394068882
"F2",1.809799074
"F2",1.874247927
"F2",1.431828462
"F2",1.730433668
"F2",1.964062947
"F2",1.959325844
"F2",1.58014362
"F2",1.501424665
"F2",1.55125944
"F2",1.870816653
"F2",1.512614713
"F2",1.566500064
"F2",1.740207191
"F2",1.685269193
"F2",1.964807261
"F2",1.288977009
"F2",1.357771623
"F2",1.577120541
"F2",1.94445334
"F2",1.44878199
"F2",1.520569314
"F2",2.335382132
"F2",1.617561204
"F2",1.561731267
"F2",1.579818815
"F2",1.930298017
"F2",1.895778911
"F2",1.932177944
"F2",1.775557063
"F2",2.370306695
"F2",1.985803085
"F2",1.58950068
"F2",1.427294306
"F2",1.52979971
"F2",2.235354675
"F2",2.109737201
"F2",2.405756254
"F2",1.794508097
"F2",1.892545058
"F2",1.583459209
"F2",1.968774225
"F2",1.633652998
"F2",1.669773253
"F2",1.879959563
"F2",2.312948908
"F2",1.94413078
"F2",2.020700286
"F2",1.904364899
"F2",2.154129404
"F2",1.155768833
"F2",2.038734899
"F2",1.900665276
"F2",1.978413583
"F2",2.061361841
"F2",2.456005491
"F2",2.034152846
"F2",1.682930764
"F2",1.760341332
"F2",1.9357176
"F2",1.549030421
"F2",1.811152251
"F2",1.188420801
"F2",1.992213217
"F2",1.800582429
"F2",2.047464502
"F2",1.606152953
"F2",1.531284313
"F2",1.064984784
"F2",1.271865057
"F2",2.341029554
"F2",1.788199593
"F2",2.070058315
"F2",1.037021471
"F2",1.55725257
"F2",1.655656103
"F2",2.044028983
"F2",1.473278603
"F2",2.4664895
"F2",1.139394829
"F2",1.550513551
"F2",2.167837516
"F2",1.9198831
"F2",2.35569951
"F2",1.771515412
"F2",1.61065648
"F2",1.910051116
"F2",2.295277175
"F2",2.070036732
"F2",2.168347419
"F2",1.859016841
"F2",1.782690812
"F2",1.490075868
"F2",2.614132925
"F2",1.208024053
"F2",1.757608448
"F2",1.744731463
"F2",2.771047534
"F2",2.295484661
"F2",2.11395116
"F2",1.541418243
"F2",1.946043068
"F2",1.548028421
"F2",1.925163993
"F2",1.394900714
"F2",2.073211382
"F2",2.355784359
"F2",1.810506544
"F2",2.142448277
"F2",1.967607363
"F2",1.840034285
"F2",1.824396596
"F2",2.113323552
"F2",1.63094261
"F2",1.700687507
"F2",1.811795554
"F2",2.229944223
"F2",1.64164585
"F2",1.44650707
"F2",1.551320208
"F2",2.151029698
"F2",2.288520514
"F2",2.056410294
"F2",1.870957666
"F2",1.62356812
"F2",1.977531906
"F2",2.11389594
"F2",2.415654071
"F2",1.35738308
"F2",2.529588879
"F2",1.736663296
"F2",1.977099872
"F2",1.874891405
"F2",1.477657251
"F2",2.090092462
"F2",2.111981667
"F2",1.962292208
"F2",1.866630257
"F2",1.962332702
"F2",1.733779076
"F2",1.534464679
"F2",1.90553631
"F2",1.615226506
"F2",2.075176753
"F2",1.746618755
"F2",1.983216714
"F2",2.053582586
"F2",2.263309438
"F2",1.731917769
"F2",2.234563771
"F2",1.83518959
"F2",2.434290438
"F2",1.848290105
"F2",1.915922726
"F2",2.137014145
"F2",1.598074744
"F2",2.134859341
"F2",2.01380856
"F2",1.418280498
"F2",1.79601276
"F2",1.679599196
"F2",1.972082312
"F2",1.972040237
"F2",1.966695772
"F2",1.920643756
"F2",1.89540236
"F2",2.260891417
"F2",2.093265515
"F2",1.082301125
"F2",1.87041694
"F2",1.703293699
"F2",1.364054316
"F2",1.362994982
"F2",2.344292838
"F2",2.148431824
"F2",2.145462976
"F2",2.020954693
"F2",2.209670798
"F2",2.249237078
"F2",1.933364014
"F2",1.836803225
"F2",1.928502207
"F2",1.604906909
"F2",1.828871263
"F2",1.536551027
"F2",2.024647786
"F2",1.973125655
"F2",0.864326466
"F2",1.869130456
"F2",1.17560879
"F2",1.99296065
"F2",1.994750578
"F2",2.490028577
"F2",2.171656599
"F2",1.713327731
"F2",1.687939411
"F2",2.066897664
"F2",1.716503731
"F2",1.892799716
"F2",1.857822452
"F2",2.321079299
"F2",1.80352774
"F2",1.438818981
"F2",2.041804443
"F2",1.903043839
"F2",2.034225871
"F2",2.260399039
"F2",2.41242723
"F2",1.419244758
"F2",1.885774208
"F2",2.243864802
"F2",1.773428783
"F2",2.2066154
"F2",2.840276143
"F2",2.431705197
"F2",2.14266068
"F2",2.243176039
"F2",2.191394774
"F2",2.152587156
"F2",1.961827154
"F2",1.667192646
"F2",2.281216484
"F2",2.074048044
"F2",1.665121464
"F2",2.458011957
"F2",1.799258362
"F2",1.908764848
"F2",1.618895963
"F2",1.109740369
"F2",1.756573752
"F2",2.355266688
"F2",1.826773712
"F2",1.60466868
"F2",1.782157819
"F2",0.956812833
"F2",1.715109701
"F2",1.837349943
"F2",0.699284596
"F2",1.407474717
"F2",2.527544658
"F2",1.933817595
"F2",2.226057884
"F2",1.972559745
"F2",1.909304794
"F2",1.875627585
"F2",2.185024215
"F2",2.011088901
"F2",1.806295671
"F2",1.922440557
"F2",2.141049309
"F2",1.852894339
"F2",1.947585675
"F2",2.301289396
"F2",1.807589007
"F2",2.087937292
"F2",1.819222509
"F2",1.908857806
"F2",2.303339619
"F2",1.567988289
"F2",2.035877479
"F2",1.141971008
"F2",1.382080673
"F2",2.292291921
"F2",2.016202848
"F2",2.212006353
"F2",1.866450425
"F2",1.853667574
"F2",1.770282564
"F2",2.382897544
"F2",2.0966961
"F2",1.99129093
"F2",1.776490639
"F2",1.534924388
"F2",1.933319093
"F2",1.407888184
"F2",1.695734974
"F2",1.198623853
"F2",2.108665129
"F2",2.03968892
"F2",1.974037273
"F2",2.221354389
"F2",2.090482254
"F2",1.399779254
"F2",2.236803479
"F2",1.260070676
"F2",2.199545615
"F2",2.139285358
"F2",2.02096903
"F2",1.813186938
"F2",2.307331007
"F2",1.384443206
"F2",0.978341734
"F2",1.991472979
"F2",2.216489329
"F2",1.741816782
"F2",1.723903179
"F2",1.925363917
"F2",2.312093425
"F2",1.730410484
"F2",0.924090154
"F2",0.810020827
"F2",2.023316186
"F2",2.662935225
"F2",1.832280876
"F2",1.793785771
"F2",2.494369632
"F2",2.255819204
"F2",2.290562851
"F2",2.178320817
"F2",1.77265442
"F2",2.260798893
"F2",1.939984022
"F2",1.981919424
"F2",2.101862919
"F2",1.725049998
"F2",2.603773224
"F2",2.293183937
"F2",1.950572831
"F2",2.132617227
"F2",1.884661949
"F2",1.47278984
"F2",1.478226917
"F2",1.826942657
"F2",1.973154886
"F2",2.03669095
"F2",1.961893949
"F2",1.886244411
"BC1",1.956673655
"BC1",1.736989328
"BC1",1.501522194
"BC1",2.412518225
"BC1",2.041476096
"BC1",1.702794707
"BC1",1.713995724
"BC1",2.07489965
"BC1",2.118067538
"BC1",1.225673291
"BC1",1.655887627
"BC1",1.83160862
"BC1",1.543456596
"BC1",2.03084523
"BC1",2.048497556
"BC1",1.931486647
"BC1",1.456787021
"BC1",1.884334919
"BC1",2.132329276
"BC1",1.882773938
"BC1",1.710277467
"BC1",1.652042988
"BC1",1.856385429
"BC1",1.857521378
"BC1",1.807357038
"BC1",1.330601102
"BC1",1.432476669
"BC1",1.653855113
"BC1",1.686380209
"BC1",1.2817292
"BC1",1.86639787
"BC1",1.667386087
"BC1",1.730242142
"BC1",1.892396805
"BC1",1.654365841
"BC1",2.063786097
"BC1",1.647412384
"BC1",2.150602839
"BC1",1.685646377
"BC1",1.49615704
"BC1",1.847883944
"BC1",1.958127691
"BC1",2.320077475
"BC1",1.47111428
"BC1",1.896838123
"BC1",1.375080238
"BC1",1.597080701
"BC1",1.774981427
"BC1",1.919656489
"BC1",1.874821101
"BC1",1.818570598
"BC1",1.303192771
"BC1",1.445125425
"BC1",1.739284953
"BC1",1.640250903
"BC1",1.792118384
"BC1",1.159092559
"BC1",1.230825703
"BC1",2.048410336
"BC1",2.170415036
"BC1",1.856263616
"BC1",1.521580665
"BC1",2.034910177
"BC1",1.724348931
"BC1",1.640133993
"BC1",1.794509385
"BC1",1.725229997
"BC1",1.731255397
"BC1",1.848258319
"BC1",1.584790826
"BC1",1.487985007
"BC1",1.117961016
"BC1",1.745128898
"BC1",1.180174781
"BC1",1.804166208
"BC1",1.581442977
"BC1",1.984537049
"BC1",1.642320387
"BC1",1.863265862
"BC1",1.69276753
"BC1",1.624282745
"BC1",0.947104867
"BC1",2.358309768
"BC1",1.508713613
"BC1",1.56618122
"BC1",1.594363289
"BC1",1.703977213
"BC1",1.867523567
"BC1",1.525532463
"BC1",1.530085763
"BC1",1.190362322
"BC1",1.526846269
"BC1",1.714018905
"BC1",1.495337933
"BC1",2.268162442
"BC1",1.468885686
"BC1",2.118413734
"BC1",1.352176135
"BC1",1.364933933
"BC1",2.100143869
"BC1",1.900080029
"BC1",1.754269031
"BC1",2.006429437
"BC1",1.57597783
"BC1",1.867888161
"BC1",2.078192645
"BC1",1.631960733
"BC1",1.90520741
"BC1",2.428688514
"BC1",1.743191737
"BC1",2.087707028
"BC1",1.765144509
"BC1",1.793617517
"BC1",1.376610338
"BC1",1.927112526
"BC1",2.242415089
"BC1",1.67194492
"BC1",2.116800691
"BC1",1.296485295
"BC1",1.897391918
"BC1",1.342522294
"BC1",1.849746754
"BC1",1.545232905
"BC1",1.429250065
"BC1",1.574359904
"BC1",1.668379982
"BC1",1.700229946
"BC1",1.201400324
"BC1",2.436659478
"BC1",1.827629935
"BC1",1.431713699
"BC1",1.534908971
"BC1",0.778596806
"BC1",1.809468333
"BC1",2.138777025
"BC1",1.900229134
"BC1",1.483580289
"BC1",1.560507724
"BC1",1.914137838
"BC1",1.278219624
"BC1",1.670740523
"BC1",1.676544767
"BC1",1.314963494
"BC1",1.586606977
"BC1",1.82086552
"BC1",1.639651617
"BC1",2.243216231
"BC1",2.134803841
"BC1",2.218624204
"BC1",1.998388942
"BC1",2.370258907
"BC1",1.437274699
"BC1",1.388323277
"BC1",2.450146903
"BC1",1.132194557
"BC1",1.513248158
"BC1",1.534219961
"BC1",1.545777624
"BC1",1.697706626
"BC1",1.795448342
"BC1",1.867594127
"BC1",1.595221082
"BC1",1.199685197
"BC1",1.425249498
"BC1",1.843196087
"BC1",2.281086099
"BC1",1.395795253
"BC1",1.276067161
"BC1",1.691596235
"BC1",1.291586582
"BC1",1.849715633
"BC1",2.011068861
"BC1",1.907826494
"BC1",2.087997266
"BC1",1.860528061
"BC1",1.635512101
"BC1",1.889818567
"BC1",1.324737606
"BC1",1.622052486
"BC1",1.724871571
"BC1",2.036245578
"BC1",1.378057303
"BC1",1.620321278
"BC1",1.810890546
"BC1",1.875001963
"BC1",1.500652274
"BC1",1.931793459
"BC1",2.156747045
"BC1",1.876127721
"BC1",2.179730342
"BC1",1.888365108
"BC1",2.040416753
"BC1",1.318986656
"BC1",2.041119369
"BC1",1.667270249
"BC1",1.571347727
"BC1",2.505274386
"BC1",2.321737132
"BC1",2.00664634
"BC1",2.307645352
"BC1",2.284977158
"BC1",1.629163748
"BC1",1.304441213
"BC1",1.667758076
"BC1",1.651561268
"BC1",0.933007664
"BC1",2.214941657
"BC1",1.458492841
"BC1",2.21777196
"BC1",1.789021081
"BC1",2.231454358
"BC1",1.324031519
"BC1",1.954442877
"BC1",1.653143938
"BC1",2.042516134
"BC1",1.481549138
"BC1",2.025470801
"BC1",1.816973592
"BC1",1.623373876
"BC1",1.70784302
"BC1",1.716321397
"BC1",2.375396133
"BC1",2.261492467
"BC1",1.918776602
"BC1",1.425720536
"BC1",1.387977593
"BC1",2.029617127
"BC1",1.655545768
"BC1",1.743469736
"BC1",1.705363419
"BC1",1.685027966
"BC1",2.044022352
"BC1",1.647309958
"BC1",1.286255456
"BC1",1.561116825
"BC1",1.698085772
"BC1",1.684363525
"BC1",1.323604642
"BC1",1.834516409
"BC1",1.675440057
"BC1",1.874754057
"BC1",1.981243423
"BC1",1.814647009
"BC1",1.68301087
"BC1",1.658358552
"BC1",1.659053764
"BC1",2.317528434
"BC1",1.438803882
"BC1",1.521236564
"BC1",1.516546274
"BC1",1.8405038
"BC1",1.841242703
"BC1",1.698121934
"BC1",1.834292402
"BC1",1.897785934
"BC1",1.814519276
"BC1",1.808056874
"BC1",1.36094448
"BC1",2.336134369
"BC1",1.843165493
"BC1",1.281218142
"BC1",1.470869949
"BC1",1.444687436
"BC1",2.341647172
"BC1",1.772245581
"BC1",1.682678579
"BC1",1.56062172
"BC1",2.235249094
"BC1",2.005462687
"BC1",2.410265076
"BC1",1.270072872
"BC1",2.658013196
"BC1",2.435516979
"BC1",2.019550899
"BC1",1.501938992
"BC1",1.912967723
"BC1",1.830454541
"BC1",1.832881853
"BC1",1.816058557
"BC1",2.251496207
"BC1",1.217888243
"BC1",1.90626794
"BC1",1.495416644
"BC1",2.08351469
"BC1",2.061844763
"BC1",1.736736875
"BC1",1.79107443
"BC1",2.212834816
"BC1",1.458633391
"BC1",2.383592658
"BC1",1.889700805
"BC1",1.904233151
"BC1",1.600839293
"BC1",1.202677535
"BC1",2.06217594
"BC1",1.903505894
"BC1",2.076227183
"BC1",2.158075333
"BC1",1.97434014
"BC1",1.869865378
"BC1",1.512095006
"BC1",2.098059454
"BC1",1.833735062
"BC1",1.805814929
"BC1",1.456912896
"BC1",1.758438441
"BC1",1.979746837
"BC1",1.678309901
"BC1",1.519701866
"BC1",2.411289772
"BC1",1.816467273
"BC1",2.589544323
"BC1",1.950094336
"BC1",1.483505604
"BC1",1.930567881
"BC1",1.877747039
"BC1",1.923323705
"BC1",1.762204205
"BC1",1.799979396
"BC1",2.017906569
"BC1",2.043542504
"BC1",2.207368901
"BC1",1.799462325
"BC1",2.052027777
"BC1",2.621034761
"BC1",1.65899881
"BC1",1.480479528
"BC1",1.657371342
"BC1",1.234722016
"BC1",1.605794557
"BC1",1.62194876
"BC1",1.835592576
"BC1",2.159211814
"BC1",2.34965677
"BC1",1.504216541
"BC1",2.31379406
"BC1",1.371121068
"BC1",2.53303811
"BC1",2.100540916
"BC1",1.768117548
"BC1",1.991740816
"BC1",1.680630087
"BC1",1.811906865
"BC1",1.884441454
"BC1",1.95257537
"BC1",2.632203922
"BC1",2.143453975
"BC1",1.528968604
"BC1",2.05859689
"BC1",2.280945048
"BC1",1.921681238
"BC1",1.78449832
"BC1",1.828335539
"BC1",2.348860278
"BC1",1.715118337
"BC1",1.847335997
"BC1",1.781406276
"BC1",1.297236493
"BC1",2.152928998
"BC1",2.232998741
"BC1",2.316074895
"BC1",1.724878623
"BC1",1.708663899
"BC1",1.732306738
"BC1",1.908359508
"BC1",1.805108007
"BC1",1.705100956
"BC1",1.641663146
"BC1",2.048350723
"BC1",2.371820138
"BC1",1.749780459
"BC1",2.276375226
"BC1",1.214685976
"BC1",1.924645251
"BC1",1.381781641
"BC1",1.786333009
"BC1",1.899531883
"BC1",1.809904947
"BC1",1.984537703
"BC1",1.583303361
"BC1",1.662132388
"BC1",1.040063436
"BC1",1.354164152
"BC1",1.441724627
"BC1",2.00791987
"BC1",2.00629191
"BC1",2.35562844
"BC1",2.074887674
"BC1",1.177459891
"BC1",1.932479013
"BC1",2.007008148
"BC1",1.204090808
"BC1",1.668832685
"BC1",2.35622596
"BC1",1.540401873
"BC1",1.720560121
"BC1",1.930391513
"BC1",1.960216103
"BC1",1.64376505
"BC1",0.864544764
"BC1",1.299783411
"BC1",1.328690209
"BC1",1.772239221
"BC1",1.70707657
"BC1",1.694405343
"BC1",2.077979975
"BC1",1.52393268
"BC1",1.585452263
"BC1",1.449074303
"BC1",1.524856402
"BC1",1.956339473
"BC1",1.580124526
"BC1",1.217306409
"BC1",2.040021792
"BC1",1.264658998
"BC1",1.515833184
"BC1",1.630768164
"BC1",1.49989288
"BC1",1.675246932
"BC1",1.857739055
"BC1",1.460077386
"BC1",1.274824497
"BC1",2.172958584
"BC1",1.707807158
"BC1",1.748037017
"BC1",1.514650559
"BC1",1.810320005
"BC1",1.911111509
"BC1",1.623827461
"BC1",0.765620192
"BC1",1.36080091
"BC1",1.116609024
"BC1",1.346334113
"BC1",1.662109788
"BC1",1.187842872
"BC1",1.579450699
"BC1",1.518933809
"BC1",1.77008298
"BC1",0.706735415
"BC1",1.661315659
"BC1",1.6039279
"BC1",1.48852052
"BC1",2.642564767
"BC1",1.408250371
"BC1",2.213997792
"BC1",2.32305222
"BC1",1.555758284
"BC1",2.016963319
"BC1",1.246810851
"BC1",1.497852153
"BC1",1.199967615
"BC1",1.7959693
"BC1",1.839418056
"BC1",1.246056201
"BC1",2.207681027
"BC1",1.516515167
"BC1",1.582020098
"BC1",1.604221818
"BC1",1.370137644
"BC1",1.611995581
"BC1",1.78819216
"BC1",1.606301837
"BC1",2.063882608
"BC1",1.714321054
"BC1",2.242485827
"BC1",2.114463549
"BC1",2.324796172
"BC1",1.671245235
"BC1",2.352807713
"BC1",1.534895533
"BC1",1.70848792
"BC1",2.244954123
"BC1",1.841335016
"BC1",1.631756951
"BC1",1.561881517
"BC1",1.813658459
"BC1",1.585265997
"BC1",1.746121587
"BC1",2.242974348
"BC1",1.907845481
"BC1",1.897755187
"BC1",2.240767008
"BC1",1.983213724
"BC1",2.037257491
"BC1",2.568396482
"BC1",1.764200612
"BC1",2.541313284
"BC1",1.94856914
"BC1",1.59985816
"BC1",1.541670938
"BC1",2.616745692
"BC1",2.11793895
"BC1",1.692444567
"BC1",1.732887957
"BC1",1.714785092
"BC1",2.259553155
"BC1",1.206327915
"BC1",1.42108827
"BC1",1.467138203
"BC1",1.918503905
"BC1",1.539187399
"BC1",1.650199632
"BC1",2.150919296
"BC1",2.045252013
"BC1",2.149003093
"BC1",1.581055271
"BC1",1.814655588
"BC1",1.753172863
"BC1",1.233207976
"BC1",1.919353759
"BC1",1.971984295
"BC1",1.958768587
"BC1",1.729254954
"BC1",1.164875858
"BC1",2.522270613
"BC1",2.030000464
"BC1",1.690509449
"BC1",1.605541757
"BC1",2.314524662
"BC1",1.654592893
"BC1",2.387129157
"BC1",1.927117819
"BC1",2.306693811
"BC1",1.86834793
"BC1",2.158542344
"BC1",1.795941693
"BC1",1.47107884
"BC1",2.152085805
"BC1",1.447921938
"BC1",1.335280513
"BC1",1.172509637
"BC1",1.963416079
"BC1",1.736266629
"BC1",1.204131884
"BC1",2.087067625
"BC1",1.605092231
"BC1",1.434724169
"BC1",1.386185116
"BC1",2.277708454
"BC1",2.494417541
"BC1",1.414855046
"BC1",1.301880056
"BC1",1.872445291
"BC1",1.523475918
"BC1",1.740642423
"BC1",1.662837267
"BC1",1.476418338
"BC1",1.907740585
"BC1",1.862154545
"BC1",1.183696172
"BC1",1.615515774
"BC1",1.753385041
"BC1",1.293245117
"BC1",1.702484017
"BC1",1.654201545
"BC1",1.782602361
"BC1",1.757568596
"BC1",2.064339565
"BC1",1.836986924
"BC1",1.491064976
"BC1",1.864574362
"BC1",1.208401035
"BC1",1.653010289
"BC1",1.309168882
"BC1",2.627352104
"BC1",2.016235621
"BC1",2.496943314
"BC1",1.488248251
"BC1",2.105643105
"BC1",1.523891142
"BC1",2.122167378
"BC1",2.370620467
"BC1",2.07952142
"BC1",2.100211117
"BC1",1.890607708
"BC1",1.967104225
"BC1",1.431664041
"BC1",1.309920184
"BC1",1.82798426
"BC1",1.472142369
"BC1",1.885824964
"BC1",2.010252697
"BC1",1.645867871
"BC1",2.14094494
"BC1",1.635503017
"BC1",2.143323547
"BC1",1.728908103
"BC1",1.877577122
"BC1",2.045351243
"BC1",1.38765674
"BC1",1.586513686
"BC1",1.513589545
"BC1",1.778898361
"BC1",2.186965615
"BC1",1.756833214
"BC1",2.219379148
"BC1",1.771097636
"BC1",1.664744354
"BC1",2.244647463
"BC1",1.601940792
"BC1",1.127017195
"BC1",1.676253422
"BC1",2.082032718
"BC1",1.48487368
"BC1",1.809726043
"BC1",1.77959325
"BC1",2.426081665
"BC1",1.25431881
"BC1",1.611568269
"BC1",1.078935844
"BC1",1.623628114
"BC1",1.577842502
"BC1",2.023940898
"BC1",1.221227647
"BC1",1.246621593
"BC1",1.956902644
"BC1",1.971547231
"BC1",1.658800757
"BC1",2.035380315
"BC1",1.950733366
"BC1",1.281800791
"BC1",1.489670258
"BC1",1.569728031
"BC1",1.82063868
"BC1",1.343943592
"BC1",1.525691217
"BC1",2.209904928
"BC1",1.163471989
"BC1",1.368807065
"BC1",1.32431364
"BC1",1.821644011
"BC1",1.528523394
"BC1",1.13601724
"BC1",1.373386844
"BC1",2.258371812
"BC1",1.374520434
"BC1",1.703320283
"BC1",1.197538741
"BC1",1.450335002
"BC1",1.71075241
"BC1",1.513262946
"BC1",2.21081741
"BC1",0.790141568
"BC1",1.821321957
"BC1",2.649189685
"BC1",1.895294585
"BC1",1.499932253
"BC1",1.972592294
"BC1",2.100883133
"BC1",1.392931761
"BC1",1.527220895
"BC1",0.738158113
"BC1",1.466099963
"BC1",1.606205706
"BC1",1.644665221
"BC1",1.435675579
"BC1",2.014013398
"BC1",1.756592443
"BC1",1.785517781
"BC1",1.987152877
"BC1",1.965519797
"BC1",1.185497402
"BC1",1.846961624
"BC1",1.49690587
"BC1",1.934045356
"BC1",1.422010254
"BC1",1.452712112
"BC1",1.243228534
"BC1",1.587440265
"BC1",1.46570193
"BC1",1.56186075
"BC1",1.433303262
"BC1",1.681859912
"BC1",1.617427507
"BC1",2.327278422
"BC1",1.544951206
"BC1",1.247382054
"BC1",1.870779916
"BC1",1.464211888
"BC1",2.13225696
"BC1",1.019040709
"BC1",1.985421855
"BC1",1.743449803
"BC1",1.80145899
"BC1",1.724284335
"BC1",1.917866047
"BC1",1.90172607
"BC1",1.625448787
"BC1",1.461391784
"BC1",1.911249751
"BC1",1.734415022
"BC1",1.573131909
"BC1",1.502245811
"BC1",1.649477933
